Timestamp,Decision,College,Major,GPA,Credit Hours (Please include the exact number),Residency,CAP
6/9/21 23:38,Admitted,CNS,Medical Laboratory Science,3.9,39,In State,Yes
6/10/21 8:22,Denied,CNS,Biochemistry,4,38,In State,No
6/10/21 11:26,Admitted,Cockrell,Chemical Engineering,4,203,In State,No
6/10/21 11:45,Admitted,COFA,Design,4,33,In State,No
6/10/21 13:32,Admitted,CNS,Biology,4,48,In State,Yes
6/11/21 20:55,Admitted,CNS,Biology,3.76,34,In State,Yes
6/11/21 21:25,Admitted,McCombs,Unspecified Business,4,32,In State,Yes
6/11/21 22:01,Denied,Cockrell,Aerospace Engineering,4,45,In State,No
6/12/21 10:36,Admitted,COFA,Arts And Entertainment Technologies,3.78,45,In State,No
6/12/21 11:12,Admitted,COFA,Arts And Entertainment Technologies,3.9,60,In State,No
6/12/21 19:06,Admitted,McCombs,Unspecified Business,4,68,In State,No
6/12/21 20:34,Admitted,COLA,International Relations And Global Studies,4,45,In State,No
6/12/21 21:15,Admitted,CNS,Computer Science,3.27,43,In State,Yes
6/12/21 22:02,Admitted,Education,Youth And Community Studies,3.72,83,In State,No
6/12/21 22:28,Admitted,CNS,Mathematics,4,56,In State,No
6/12/21 22:31,Denied,Moody,Radio-Television-Film,3.66,55,In State,No
6/12/21 22:38,Admitted,CNS,Biology,4,47,In State,No
6/12/21 22:40,Admitted,CNS,Biology,4,34,In State,No
6/12/21 22:43,Admitted,CNS,Biology,4,41,In State,No
6/12/21 22:57,Admitted,CNS,Neuroscience,4,30,In State,No
6/12/21 22:57,Admitted,CNS,Biology,4,28,In State,No
6/12/21 23:04,Admitted,CNS,Physics,4,54,In State,No
6/12/21 23:47,Admitted,Moody,Communication And Leadership,3.77,74,In State,No
6/12/21 23:47,Admitted,CNS,Biology,4,68,In State,No
6/13/21 0:24,Admitted,CNS,Biology,4,40,In State,No
6/13/21 0:47,Admitted,COLA,Economics,3.9,37,In State,No
6/13/21 2:01,Admitted,CNS,Physics,4,30,In State,No
6/13/21 12:11,Admitted,COLA,Economics,4,45,In State,No
6/13/21 15:45,Admitted,CNS,Biology,4,25,In State,Yes
6/13/21 19:47,Admitted,Moody,Public Relations,3.8,54,In State,No
6/13/21 21:59,Admitted,COFA,Arts And Entertainment Technologies,3.8,30,In State,Yes
6/14/21 8:31,Admitted,Moody,Radio-Television-Film,3.88,54,In State,Yes
6/14/21 18:19,Admitted,Education,Applied Learning And Development,3.78,74,In State,No
6/14/21 18:23,Denied,CNS,Public Health,3.45,52,In State,No
6/14/21 18:24,Denied,COLA,Government,3.2,29,In State,No
6/14/21 18:29,Admitted,Education,Youth And Community Studies,3.7,67,In State,No
6/14/21 18:29,Admitted,Education,Special Education,3.84,31,In State,No
6/14/21 18:37,Denied,Moody,Radio-Television-Film,3.3,27,In State,No
6/14/21 18:39,Denied,COLA,Philosophy,3.35,42,In State,No
6/14/21 18:45,Admitted,Education,Applied Learning And Development,3.67,56,In State,No
6/14/21 19:13,Admitted,CNS,Computer Science,4,59,In State,No
6/14/21 19:14,Admitted,Education,Applied Learning And Development,3.841,25,In State,No
6/14/21 19:31,Denied,COFA,Design,3.1,62,In State,No
6/14/21 19:33,Admitted,Education,Applied Movement Science,3.6,55,In State,No
6/14/21 19:36,Admitted,CNS,Mathematics,3.9,150,In State,No
6/14/21 20:43,Admitted,Education,Applied Learning And Development,3.75,32,In State,No
6/14/21 21:07,Denied,Education,Exercise Science,3.67,32,In State,No
6/14/21 21:29,Admitted,Education,Physical Culture And Sport,3.7,60,In State,No
6/14/21 21:37,Admitted,CNS,Neuroscience,3.96,44,Out of State,No
6/14/21 22:29,Admitted,Education,Applied Learning And Development,3.841,25,In State,No
6/14/21 23:14,Admitted,CNS,Mathematics,3.92,44,In State,No
6/15/21 8:54,Denied,COLA,Government,3.2,29,In State,No
6/15/21 15:20,Admitted,COLA,Economics,4,46,In State,No
6/15/21 15:35,Admitted,CNS,Computer Science,4,57,In State,No
6/15/21 16:43,Admitted,Moody,Journalism,3.96,29,Out of State,No
6/15/21 18:12,Admitted,COLA,Philosophy,4,47,In State,No
6/15/21 18:12,Admitted,COLA,Government,4,34,In State,No
6/15/21 18:13,Admitted,COLA,Psychology,4,28,In State,No
6/15/21 18:19,Admitted,COLA,Government,4,31,In State,No
6/15/21 18:19,Admitted,COLA,Psychology,4,30,In State,No
6/15/21 18:21,Admitted,COLA,Economics,4,38,In State,No
6/15/21 18:25,Admitted,COLA,English,4,80,In State,No
6/15/21 18:40,Admitted,COLA,History,4,28,In State,No
6/15/21 18:40,Admitted,COLA,Psychology,4,29,In State,No
6/15/21 18:46,Admitted,COLA,Sociology,4,32,In State,No
6/15/21 18:49,Admitted,Social Work,Social Work,3.8,41,In State,No
6/15/21 18:54,Admitted,Education,Exercise Science,3.74,25,In State,No
6/15/21 19:00,Admitted,Education,Exercise Science,3.74,25,In State,No
6/15/21 19:06,Admitted,Education,Applied Movement Science,3.77,53,Out of State,No
6/15/21 19:15,Admitted,COLA,Anthropology,4,45,In State,No
6/15/21 19:37,Admitted,COLA,Government,4,57,Out of State,No
6/15/21 19:37,Admitted,COLA,Journalism,3.74,50,In State,No
6/15/21 19:37,Admitted,Moody,Advertising,3.6,36,In State,No
6/15/21 19:38,Admitted,Moody,Communication And Leadership,4,47,In State,No
6/15/21 19:38,Admitted,Education,Exercise Science,3.51,47,In State,No
6/15/21 19:43,Admitted,Social Work,Social Work,3.51,70,In State,No
6/15/21 19:50,Admitted,Moody,Advertising,3.83,56,In State,No
6/15/21 19:52,Admitted,COLA,Psychology,4,64,In State,No
6/15/21 19:57,Admitted,Moody,Speech Pathology,3.71,71,In State,No
6/15/21 20:08,Admitted,COLA,Psychology,4,29,In State,No
6/15/21 20:58,Admitted,Moody,Radio-Television-Film,3.93,30,In State,Yes
6/15/21 21:29,Admitted,COLA,Economics,3.92,30,In State,No
6/15/21 21:38,Admitted,COLA,Philosophy,4,27,In State,No
6/15/21 21:42,Admitted,Moody,Corporate Communications,3.91,44,In State,No
6/15/21 22:50,Admitted,Education,Exercise Science,3.75,40,In State,No
6/15/21 22:55,Admitted,COLA,European Studies,4,28,In State,No
6/15/21 23:14,Admitted,Moody,Advertising,3.9,32,In State,Yes
6/15/21 23:18,Admitted,COLA,Psychology,4,64,In State,No
6/15/21 23:19,Admitted,Education,Exercise Science,3.75,40,In State,No
6/15/21 23:32,Admitted,Moody,Advertising,3.76,56,Out of State,No
6/16/21 0:04,Admitted,COLA,Economics,4,48,In State,Yes
6/16/21 0:09,Admitted,CNS,Public Health,3.92,36,In State,No
6/16/21 0:25,Admitted,Social Work,Social Work,4,31,In State,No
6/16/21 0:45,Admitted,CNS,Biochemistry,3.8,73,In State,No
6/16/21 0:46,Admitted,Moody,Advertising,3.88,73,In State,No
6/16/21 1:01,Admitted,CNS,Public Health,4,47,In State,No
6/16/21 2:59,Admitted,CNS,Mathematics,4,27,Out of State,No
6/16/21 7:46,Admitted,CNS,Neuroscience,3.76,46,In State,No
6/16/21 10:16,Admitted,CNS,Physics,3.8,52,In State,No
